n,factor
1,NA
2,0.5641745553088423
3,0.637689464277234
4,0.6266114358022791
5,0.6385252621371729
6,0.6383396054837751
7,0.6391483024649844
8,0.6414054128515725
9,0.6423654653358132
10,0.6439650633303657
11,0.6453466713309995
12,0.6466167720829089
13,0.647896194684998
14,0.6490803621640332
15,0.6501815281116196
16,0.6512459087349248
17,0.6522589758796201
18,0.653165439546788
19,0.6540376403452666
20,0.6548870130335538
21,0.6556512800977367
22,0.656379724662582
23,0.657075137823794
24,0.6577094288730985
25,0.6583179057553981
26,0.6588811618092122
27,0.6594277977978977
28,0.659908870089771
29,0.6603588047247171
30,0.6608151995722138
31,0.6612328229852198
32,0.6616140717545177
33,0.6620030572297076
34,0.6623539917300408
35,0.6626959754627264
36,0.6630223332045908
37,0.6633360054645671
38,0.6636243283748828
39,0.6639105168758841
40,0.6641720839075258
41,0.664434153066093
42,0.6646879048074016
43,0.6649254820008966
44,0.6651534642632377
45,0.6653857164019107
46,0.6655749803090755
47,0.6657801861663875
48,0.6659788048283622
49,0.6661560720144832
50,0.6663297834046026
51,0.666492997774477
52,0.66667768027542
53,0.6668167805264079
54,0.6669936882784248
55,0.6671333902749049
56,0.6672768469804923
57,0.6674118209231669
58,0.6675329032333017
59,0.6676705801665649
60,0.6677988084612649
61,0.6679113433053215
62,0.6680284336199781
63,0.6681499690725486
64,0.6682525518350259
65,0.6683567067565843
66,0.668460965004546
67,0.6685662390024206
68,0.6686511224106276
69,0.6687586776357963
70,0.6688316676951251
71,0.6689284932354674
72,0.6690095175560199
73,0.6690950890783779
74,0.6691790078669322
75,0.6692461369136855
76,0.6693343233247978
77,0.6694005551533061
78,0.6694801807393673
79,0.6695488689419441
80,0.6696179041146787
81,0.669682207645742
82,0.6697388884954646
83,0.6698006816087986
84,0.6698773600892196
85,0.6699283460577496
86,0.6699865494232141
87,0.6700459021371715
88,0.6700932244841693
89,0.6701564319389123
90,0.6702090710385918
91,0.6702581431297143
92,0.6703089257542638
93,0.6703600426491966
94,0.6704145194361312
95,0.6704554666719077
96,0.6704917442933176
97,0.6705506553462088
98,0.6705950233298209
99,0.6706268391507145
100,0.6706835798162574
101,0.670717073015411
102,0.6707568321983152
103,0.6708052440628114
104,0.6708411233745218
105,0.6708671742800268
106,0.6709147193803421
107,0.6709481184253197
108,0.6709851124130263
109,0.6710209420236578
110,0.6710522910312545
111,0.6710926421053329
112,0.6711284895607431
113,0.6711534516439219
114,0.6711964236354003
115,0.6712232534557764
116,0.6712611185093414
117,0.6712831506573483
118,0.6713161156238941
119,0.6713328527272003
120,0.671378485638544
121,0.6713990950201159
122,0.6714313852953967
123,0.6714521655966155
124,0.6714767339977732
125,0.6714999508272536
126,0.6715335227733926
127,0.67155766064963
128,0.6715832512719789
129,0.6715985737748049
130,0.6716230422788405
131,0.6716594573248974
132,0.6716727747941299
133,0.6717058177259911
134,0.6717262804935819
135,0.671750601446517
136,0.6717762299240604
137,0.6717945141458698
138,0.6718095906343007
139,0.6718366020994172
140,0.6718620198943998
141,0.6718717105776221
142,0.6718972888612628
143,0.6719096538891356
144,0.6719318671804116
145,0.6719534806024671
150,0.6720364847080618
200,0.6727024305159073
250,0.6730909855508177
300,0.6733362232083677
350,0.6735013866875463
400,0.6736403991129939
450,0.6737466560016631
500,0.673805525022934
1000,0.6741650238701584
1500,0.6742670634035905
2000,0.6743275118532658